DATE,USSTHPI
1975-01-01,59.98
1975-04-01,60.96
1975-07-01,61.15
1975-10-01,62.23
1976-01-01,62.76
1976-04-01,65.5
1976-07-01,66.57
1976-10-01,67.26
1977-01-01,69.46
1977-04-01,72.72
1977-07-01,74.37
1977-10-01,77.24
1978-01-01,79.63
1978-04-01,82.76
1978-07-01,85.19
1978-10-01,87.52
1979-01-01,91.4
1979-04-01,94.47
1979-07-01,96.46
1979-10-01,98.29
1980-01-01,100.00
1980-04-01,101.65
1980-07-01,104.49
1980-10-01,104.59
1981-01-01,105.25
1981-04-01,107.47
1981-07-01,108.86
1981-10-01,107.56
1982-01-01,106.28
1982-04-01,108.95
1982-07-01,107.19
1982-10-01,111.78
1983-01-01,114.48
1983-04-01,115.97
1983-07-01,116.98
1983-10-01,117.67
1984-01-01,119.46
1984-04-01,121.06
1984-07-01,122.19
1984-10-01,123.17
1985-01-01,124.91
1985-04-01,126.81
1985-07-01,128.78
1985-10-01,130.22
1986-01-01,132.74
1986-04-01,135.51
1986-07-01,137.58
1986-10-01,139.71
1987-01-01,142.48
1987-04-01,144.7
1987-07-01,146.35
1987-10-01,147.31
1988-01-01,149.6
1988-04-01,152.61
1988-07-01,154.17
1988-10-01,155.61
1989-01-01,157.42
1989-04-01,159.58
1989-07-01,162.98
1989-10-01,164.33
1990-01-01,165.26
1990-04-01,165.95
1990-07-01,166.96
1990-10-01,166.31
1991-01-01,167.69
1991-04-01,168.81
1991-07-01,169.13
1991-10-01,171.51
1992-01-01,172.82
1992-04-01,172.79
1992-07-01,174.76
1992-10-01,175.63
1993-01-01,175.72
1993-04-01,177.4
1993-07-01,178.83
1993-10-01,180.3
1994-01-01,181.43
1994-04-01,182.52
1994-07-01,183.27
1994-10-01,183.12
1995-01-01,184.08
1995-04-01,187.11
1995-07-01,189.99
1995-10-01,191.46
1996-01-01,193.6
1996-04-01,193.91
1996-07-01,194.78
1996-10-01,196.3
1997-01-01,197.94
1997-04-01,199.57
1997-07-01,202.28
1997-10-01,204.92
1998-01-01,207.99
1998-04-01,209.85
1998-07-01,212.78
1998-10-01,215.3
1999-01-01,217.57
1999-04-01,220.48
1999-07-01,223.61
1999-10-01,225.91
2000-01-01,230.23
2000-04-01,233.99
2000-07-01,238.25
2000-10-01,241.9
2001-01-01,247.88
2001-04-01,252.04
2001-07-01,255.96
2001-10-01,259.12
2002-01-01,262.84
2002-04-01,267.33
2002-07-01,272.63
2002-10-01,276.49
2003-01-01,279.86
2003-04-01,283.28
2003-07-01,287.65
2003-10-01,295.8
2004-01-01,300.45
2004-04-01,307.79
2004-07-01,319.54
2004-10-01,326.38
2005-01-01,333.87
2005-04-01,344.56
2005-07-01,355.01
2005-10-01,363.04
2006-01-01,368.79
2006-04-01,372.56
2006-07-01,375.63
2006-10-01,379.47
2007-01-01,380.9
2007-04-01,380.66
2007-07-01,376.41
2007-10-01,375.19
2008-01-01,372.46
2008-04-01,363.07
2008-07-01,351.64
2008-10-01,348.41
2009-01-01,350.99
2009-04-01,341.76
2009-07-01,332.82
2009-10-01,330.3
2010-01-01,326.35
2010-04-01,323.41
2010-07-01,326.54
2010-10-01,324.2
2011-01-01,315.22
2011-04-01,309.71
2011-07-01,312.03
2011-10-01,313.46
2012-01-01,310.17
2012-04-01,308.79
2012-07-01,312.88
2012-10-01,315.31
2013-01-01,316.92
2013-04-01,321.8
2013-07-01,326.55
2013-10-01,329.2
2014-01-01,331.99
2014-04-01,338.42
2014-07-01,343.3
2014-10-01,346.12
2015-01-01,349.89
2015-04-01,355.61
2015-07-01,360.78
2015-10-01,363.73
2016-01-01,367.08
2016-04-01,373.98
2016-07-01,380.61
2016-10-01,383.66
2017-01-01,386.6
2017-04-01,395.38
2017-07-01,401.55
2017-10-01,404.95
2018-01-01,410.72
2018-04-01,418.32
2018-07-01,423.33
2018-10-01,424.89
2019-01-01,429.57
2019-04-01,436.69
2019-07-01,442.23
2019-10-01,446.22
2020-01-01,451.3
2020-04-01,455.78
2020-07-01,463.92
2020-10-01,473.81
2021-01-01,484.26
2021-04-01,510.08
