,date,state,fips,cumulative_cases,cumulative_deaths,year,month,year_month,deaths,cases,7day_avg_deaths,7day_avg_cases
0,2020-03-13,Alabama,01,6,0,2020,3,2020-03,0,6,,
1,2020-03-14,Alabama,01,12,0,2020,3,2020-03,0,6,,
2,2020-03-15,Alabama,01,23,0,2020,3,2020-03,0,11,,
3,2020-03-16,Alabama,01,29,0,2020,3,2020-03,0,6,,
4,2020-03-17,Alabama,01,39,0,2020,3,2020-03,0,10,,
5,2020-03-18,Alabama,01,51,0,2020,3,2020-03,0,12,,
6,2020-03-19,Alabama,01,78,0,2020,3,2020-03,0,27,0.0,11.142857142857142
7,2020-03-20,Alabama,01,106,0,2020,3,2020-03,0,28,0.0,14.285714285714286
8,2020-03-21,Alabama,01,131,0,2020,3,2020-03,0,25,0.0,17.0
9,2020-03-22,Alabama,01,157,0,2020,3,2020-03,0,26,0.0,19.142857142857142
10,2020-03-23,Alabama,01,196,0,2020,3,2020-03,0,39,0.0,23.857142857142858
11,2020-03-24,Alabama,01,242,0,2020,3,2020-03,0,46,0.0,29.0
12,2020-03-25,Alabama,01,386,1,2020,3,2020-03,1,144,0.14285714285714285,47.857142857142854
13,2020-03-26,Alabama,01,538,3,2020,3,2020-03,2,152,0.42857142857142855,65.71428571428571
14,2020-03-27,Alabama,01,639,4,2020,3,2020-03,1,101,0.5714285714285714,76.14285714285714
15,2020-03-28,Alabama,01,720,4,2020,3,2020-03,0,81,0.5714285714285714,84.14285714285714
16,2020-03-29,Alabama,01,830,5,2020,3,2020-03,1,110,0.7142857142857143,96.14285714285714
17,2020-03-30,Alabama,01,947,11,2020,3,2020-03,6,117,1.5714285714285714,107.28571428571429
18,2020-03-31,Alabama,01,999,14,2020,3,2020-03,3,52,2.0,108.14285714285714
19,2020-04-01,Alabama,01,1108,28,2020,4,2020-04,14,109,3.857142857142857,103.14285714285714
20,2020-04-02,Alabama,01,1270,32,2020,4,2020-04,4,162,4.142857142857143,104.57142857142857
21,2020-04-03,Alabama,01,1535,38,2020,4,2020-04,6,265,4.857142857142857,128.0
22,2020-04-04,Alabama,01,1632,44,2020,4,2020-04,6,97,5.714285714285714,130.28571428571428
23,2020-04-05,Alabama,01,1840,45,2020,4,2020-04,1,208,5.714285714285714,144.28571428571428
24,2020-04-06,Alabama,01,2005,53,2020,4,2020-04,8,165,6.0,151.14285714285714
25,2020-04-07,Alabama,01,2197,64,2020,4,2020-04,11,192,7.142857142857143,171.14285714285714
26,2020-04-08,Alabama,01,2498,67,2020,4,2020-04,3,301,5.571428571428571,198.57142857142858
27,2020-04-09,Alabama,01,2838,78,2020,4,2020-04,11,340,6.571428571428571,224.0
28,2020-04-10,Alabama,01,3008,80,2020,4,2020-04,2,170,6.0,210.42857142857142
29,2020-04-11,Alabama,01,3262,93,2020,4,2020-04,13,254,7.0,232.85714285714286
30,2020-04-12,Alabama,01,3583,93,2020,4,2020-04,0,321,6.857142857142857,249.0
31,2020-04-13,Alabama,01,3805,104,2020,4,2020-04,11,222,7.285714285714286,257.14285714285717
32,2020-04-14,Alabama,01,3953,114,2020,4,2020-04,10,148,7.142857142857143,250.85714285714286
33,2020-04-15,Alabama,01,4241,123,2020,4,2020-04,9,288,8.0,249.0
34,2020-04-16,Alabama,01,4404,137,2020,4,2020-04,14,163,8.428571428571429,223.71428571428572
35,2020-04-17,Alabama,01,4572,151,2020,4,2020-04,14,168,10.142857142857142,223.42857142857142
36,2020-04-18,Alabama,01,4723,147,2020,4,2020-04,0,151,8.285714285714286,208.71428571428572
37,2020-04-19,Alabama,01,4903,160,2020,4,2020-04,13,180,10.142857142857142,188.57142857142858
38,2020-04-20,Alabama,01,5078,164,2020,4,2020-04,4,175,9.142857142857142,181.85714285714286
39,2020-04-21,Alabama,01,5327,186,2020,4,2020-04,22,249,10.857142857142858,196.28571428571428
40,2020-04-22,Alabama,01,5610,201,2020,4,2020-04,15,283,11.714285714285714,195.57142857142858
41,2020-04-23,Alabama,01,5832,197,2020,4,2020-04,0,222,9.714285714285714,204.0
42,2020-04-24,Alabama,01,6026,209,2020,4,2020-04,12,194,9.428571428571429,207.71428571428572
43,2020-04-25,Alabama,01,6213,213,2020,4,2020-04,4,187,10.0,212.85714285714286
44,2020-04-26,Alabama,01,6421,219,2020,4,2020-04,6,208,9.0,216.85714285714286
45,2020-04-27,Alabama,01,6539,228,2020,4,2020-04,9,118,9.714285714285714,208.71428571428572
46,2020-04-28,Alabama,01,6750,242,2020,4,2020-04,14,211,8.571428571428571,203.28571428571428
47,2020-04-29,Alabama,01,6925,262,2020,4,2020-04,20,175,9.285714285714286,187.85714285714286
48,2020-04-30,Alabama,01,7068,272,2020,4,2020-04,10,143,10.714285714285714,176.57142857142858
49,2020-05-01,Alabama,01,7294,289,2020,5,2020-05,17,226,11.428571428571429,181.14285714285714
